match_id,competition_id,season_id,match_date,team,opponent,is_home,goals_for,goals_against,xg_for,xg_against,shot_accuracy_pct,possession_pct,progressive_passes_pct
3794692,55,43,2021-06-29,Ukraine,Sweden,0,2,1,1.3442882549999997,0.9119222929999999,26.666666666666668,53.622207176709544,14.30635838150289
3795108,55,43,2021-07-02,Switzerland,Spain,1,1,1,3.9577571380000003,6.928069084,41.66666666666667,27.952480782669465,29.602888086642597
3795108,55,43,2021-07-02,Spain,Switzerland,0,1,1,6.928069084,3.9577571380000003,44.11764705882353,72.04751921733053,18.872017353579178
3795107,55,43,2021-07-02,Belgium,Italy,1,1,2,1.8028032259999998,1.1425686830000001,30.0,46.88715953307393,17.468354430379744
3795107,55,43,2021-07-02,Italy,Belgium,0,2,1,1.1425686830000001,1.8028032259999998,28.57142857142857,53.11284046692607,17.078189300411523
3795187,55,43,2021-07-03,Ukraine,England,1,0,4,0.337611863,1.215532939,28.57142857142857,48.07692307692308,11.296296296296296
3795187,55,43,2021-07-03,England,Ukraine,0,4,0,1.215532939,0.337611863,60.0,51.92307692307693,13.242784380305602
3795109,55,43,2021-07-03,Czech Republic,Denmark,1,1,2,1.1616771149999998,1.2119879150000001,31.25,56.07064017660044,24.427480916030532
3795109,55,43,2021-07-03,Denmark,Czech Republic,0,2,1,1.2119879150000001,1.1616771149999998,63.63636363636363,43.92935982339956,28.990228013029316
3795220,55,43,2021-07-06,Italy,Spain,1,1,1,4.315650622,4.53613009,75.0,30.999270605397523,24.610591900311526
3795220,55,43,2021-07-06,Spain,Italy,0,1,1,4.53613009,4.315650622,35.0,69.00072939460247,17.286914765906364
3795221,55,43,2021-07-07,England,Denmark,1,2,1,3.050196702,0.37552856700000004,47.61904761904761,58.463832960477255,17.5
3795221,55,43,2021-07-07,Denmark,England,0,1,2,0.37552856700000004,3.050196702,50.0,41.536167039522745,20.982142857142858
3795506,55,43,2021-07-11,Italy,England,1,1,1,5.999364604499999,4.3437109629999995,45.83333333333333,65.55555555555556,14.212548015364918
3795506,55,43,2021-07-11,England,Italy,0,1,1,4.3437109629999995,5.999364604499999,45.45454545454545,34.44444444444444,24.786324786324787
3857286,43,106,2022-11-20,Qatar,Ecuador,1,0,2,0.30418895050000005,1.1540112984,0.0,47.41641337386018,19.3717277486911
3857286,43,106,2022-11-20,Ecuador,Qatar,0,2,0,1.1540112984,0.30418895050000005,50.0,52.58358662613982,17.824074074074073
3857282,43,106,2022-11-21,United States,Wales,1,1,1,0.6024987946,1.395336012,16.666666666666664,57.92972459639126,21.73076923076923
3857282,43,106,2022-11-21,Wales,United States,0,1,1,1.395336012,0.6024987946,42.857142857142854,42.07027540360874,27.13864306784661
3857271,43,106,2022-11-21,England,Iran,1,6,2,1.987157745,1.4556585987,53.84615384615385,77.40164684354987,19.034852546916888
3857271,43,106,2022-11-21,Iran,England,0,2,6,1.4556585987,1.987157745,37.5,22.598353156450138,26.380368098159508
3857285,43,106,2022-11-21,Senegal,Netherlands,1,0,2,0.6914927064999999,1.1238838,26.666666666666668,46.68838219326818,19.476744186046513
3857285,43,106,2022-11-21,Netherlands,Senegal,0,2,0,1.1238838,0.6914927064999999,30.0,53.31161780673182,21.374045801526716
